Country Name,Country Code,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Azerbaijan,AZE,"Access to electricity, rural (% of rural population)",,,,,,,,,,94.45046111,98.0660884,97.77881273,100,98.54941087,98.84602319,99.06686479,99.16723545,99.36969836,99.50888816,99.71560386,99.88851802,99.9,100,100,100,100,100,100,100
Burundi,BDI,"Access to electricity, rural (% of rural population)",,,,,,,,,,,,,,,,,,,0.882570483,0.134377828,0.095590263,0.474854756,,0.998025157,0.980125763,1.934356396,2.661235113,1.658407409,3.435183756
Belgium,BEL,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Benin,BEN,"Access to electricity, rural (% of rural population)",,,,,,,2.777057832,2.53699146,3.469752797,4.409695368,5.345452739,4.449228921,7.114782764,7.841962894,8.510984457,9.114641521,7.915499811,10.18706945,10.69846314,11.22508465,10.57370112,13.62363202,14.55077982,14.39201404,16.22601346,15.61817438,16.52022208,17.19218768,18.33402761
Burkina Faso,BFA,"Access to electricity, rural (% of rural population)",,,,2.1188632,1.293044065,1.549491856,1.803704661,1.977852829,2.075234864,0.102735099,2.192627644,2.197678924,2.153847699,1.152562449,1.881396169,1.635582333,1.321334406,1.055660999,0.847354934,0.636051839,1.52984106,1.859907439,1.566998592,0.919345853,4.749874698,,,,
Bangladesh,BGD,"Access to electricity, rural (% of rural population)",,3.17101853,,0.132305402,2.238844849,5.436109298,8.11383295,5.881475742,13.53574954,16.27505167,16.81052202,21.69337899,24.25279198,26.80104368,27.87629043,30.17185846,40.17095642,32.4922636,39.36187969,41.93462964,39.99789779,45.70708841,49.78223244,48.58776293,48.12119913,62.35690504,66.14364753,81.57102994,78.26703072
Bulgaria,BGR,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bahrain,BHR,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Bahamas, The",BHS,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bosnia and Herzegovina,BIH,"Access to electricity, rural (% of rural population)",,,,,,,,,,,,100,97.89614624,100,100,100,99.12706219,100,100,100,100,100,100,100,100,100,100,100,100
Belarus,BLR,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belize,BLZ,"Access to electricity, rural (% of rural population)",,42.79484025,48.90526011,51.01119498,53.11155547,55.21228414,57.31633448,59.42915925,61.55069835,63.67138858,65.69705789,67.73836238,69.68528638,71.58797474,73.43231829,75.2106546,85.12733171,78.64882762,80.35826763,82.09399999,84.0689162,87.85714818,87.68996447,89.72320179,91.82479661,87.55832538,96.17301859,98.39008054,100
Bermuda,BMU,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bolivia,BOL,"Access to electricity, rural (% of rural population)",,,12.78757043,12.95687776,23.16792885,19.84423833,32.95676143,24.22403726,32.67827709,28.37385189,28.16741634,28.01335004,22.52780032,34.95559301,41.03300577,29.54500745,41.57055898,46.53506982,57.00263464,63.27758278,66.75855148,66.64757656,72.16988359,68.51673362,70.29286127,74.33850134,74.86945541,74.8204366,85.95951104
Brazil,BRA,"Access to electricity, rural (% of rural population)",58.94843202,87.02842037,62.01330143,64.30439787,82.55258411,67.94611429,71.04176396,71.83858403,74.68870522,76.50735511,71.89311207,81.87576296,84.11795444,85.32153545,83.4505451,84.83053451,87.16541867,89.77621099,91.85225586,93.61739818,93.46784538,96.19058743,97.22181347,97.50203345,97.91007704,98.23240924,98.46712998,100,100
Barbados,BRB,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Brunei Darussalam,BRN,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bhutan,BTN,"Access to electricity, rural (% of rural population)",,,,,,,,,,,8.796472079,19.72026155,23.96339879,18.45123524,32.65298229,43.22634506,42.05140034,58.85198148,52.14556763,57.37900433,59.39781366,72.02013098,86.86994848,80.23282949,86.36924414,92.78176987,99.41699444,96.76015566,100
Botswana,BWA,"Access to electricity, rural (% of rural population)",,3.973637411,2.684903344,4.191793186,5.678483091,7.150682467,8.613678994,10.0747982,11.53578917,12.98536765,14.40562038,10.44248044,17.27604902,18.72924292,20.09072,21.34817406,22.51915239,22.83765704,22.57985023,23.06844677,26.74035648,25.15604298,23.2126289,22.36659945,24.93351119,25.70219167,26.46432319,27.19409316,27.88261115
Central African Republic,CAF,"Access to electricity, rural (% of rural population)",,,,,,,,,,0.035948429,0.205765377,0.399599235,0.545481326,0.651830276,0.706814062,0.697230463,0.106566541,0.545815842,0.443203686,0.349198367,0.184799749,2.717127616,4.764999719,6.576231255,8.440797498,10.60398446,12.78267321,14.66108392,16.31860095
Canada,CAN,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Central Europe and the Baltics,CEB,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Switzerland,CHE,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Channel Islands,CHI,"Access to electricity, rural (% of rural population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Access to electricity, rural (% of rural population)",59.4583103,72.28858132,71.43974434,73.58962076,74.20928236,74.94221373,74.17947298,76.89600209,82.96245563,79.62990055,86.54576942,82.76384011,84.34000081,92.76950894,87.28567199,88.29234416,96.41898514,89.66448249,90.25801322,97.74800126,97.12941689,97.76864595,100,100,100,100,100,100,100
China,CHN,"Access to electricity, rural (% of rural population)",,,,,,,,,,,95.1766207,95.80262315,96.19327107,96.56150737,96.8928305,97.17682832,97.4279282,97.68502473,97.991115,98.37411442,99.40914641,99.74616989,99.94791418,100,100,100,100,100,100
Cote d'Ivoire,CIV,"Access to electricity, rural (% of rural population)",13.57281971,14.57185459,15.57035542,16.56565094,13.7,18.53380966,19.50026321,20.45069313,21.38189316,22.5,23.1861496,24.06979561,24.9492054,25.83045006,26.71959496,37,28.54584694,29.49345779,30.46343994,31.45206261,32.45560074,33.47032547,29,35.51841354,36.54494476,39.22569091,36.7315388,30.74847809,32.9375264
Cameroon,CMR,"Access to electricity, rural (% of rural population)",,6.110515351,7.075109065,7.731600488,8.386175515,9.045431135,9.713076885,10.39769349,10.17946935,11.80817347,9.221453678,13.86188834,13.84816518,14.44866523,19.47418342,15.43460346,25.80885678,6.426585695,16.51687484,16.8705521,16.85826036,16.84191989,17.70690906,18.9630391,18.80194461,20.48955607,21.32108601,22.17576825,23.03357378
"Congo, Dem. Rep.",COD,"Access to electricity, rural (% of rural population)",,,,,,,,,,,,,,,,,,1.820217635,,,,,,,,,,,
"Congo, Rep.",COG,"Access to electricity, rural (% of rural population)",,,,,,,,,,,,,,,,7.223665038,5.741595248,7.261428383,8.764159839,9.245148289,11.86784399,13.55066299,10.61778492,17.30647058,17.01672951,24.0686042,19.26791038,19.90496713,20.1895811
Colombia,COL,"Access to electricity, rural (% of rural population)",71.68682168,73.39487552,73.81837835,74.27032349,74.7630981,70.85432326,75.93165522,76.6432185,77.4540021,78.34201772,83.27282639,80.2156497,81.12500293,81.96046452,82.67712967,88.87290617,83.69445899,84.088659,86.96315804,83.7688342,86.23689145,85.50323587,87.07796847,90.0737705,89.89214922,91.7902476,92.76199455,92.74033924,99.66937437
Comoros,COM,"Access to electricity, rural (% of rural population)",,,,,,,19.88053977,22.16022667,24.81437445,27.47281646,30.12680976,32.76741291,33.21566513,37.97282222,40.51921959,43.01437874,45.47211118,47.91077959,50.3488801,52.80430731,64.0390881,63.44717954,63.11801317,63.12486382,65.84665877,68.60521923,71.38880886,74.1857654,76.98634742
Cabo Verde,CPV,"Access to electricity, rural (% of rural population)",,,,,,,,,,,,,30.72210733,37.34349757,40.28634665,42.45776952,46.23489034,49.29895687,52.47061181,55.79649004,65.68363736,62.42909927,67.4421878,71.94077721,76.58705197,81.42620089,86.4390035,91.60334595,96.90005836
Costa Rica,CRI,"Access to electricity, rural (% of rural population)",,,,,,,,,,,,95.7712338,96.32259592,96.66844476,97.34148609,97.44307669,97.56266579,97.7203465,97.7674214,98.16230937,97.09039727,97.2660617,98.1407669,98.43602522,98.26869653,97.68201702,98.45259355,98.86716406,100
Caribbean small states,CSS,"Access to electricity, rural (% of rural population)",,,,70.76896121,71.3163002,72.21830737,76.40507092,74.08924235,76.04430097,80.52428883,79.05886534,83.85605698,83.42022847,83.97625363,84.73549704,86.07523744,86.47520623,87.68115149,87.7131055,88.19016839,89.86012008,89.36169077,91.13710311,92.42946569,92.21159193,93.1120296,95.00280225,96.12133662,97.22673548
Cuba,CUB,"Access to electricity, rural (% of rural population)",,,,,,,,,,,87.84293008,86.7612835,83.71726274,88.49131208,89.21081259,89.7576834,90.17406543,90.52079201,90.85965285,91.25389323,91.76701811,92.46403661,93.39358732,94.56688894,95.96833457,97.59200933,99.36481248,99.68879975,100
Curacao,CUW,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cayman Islands,CYM,"Access to electricity, rural (% of rural population)",,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cyprus,CYP,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Czech Republic,CZE,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Germany,DEU,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Djibouti,DJI,"Access to electricity, rural (% of rural population)",,,,,,,88.43568451,62.04608302,59.90140984,57.80209389,55.70574145,53.56959953,26.09915008,49.00511809,46.4893531,43.7773925,32.64964484,37.95946917,34.98063604,32.04195814,29.19202013,26.49147449,22.06688628,21.64749968,20.09252522,22.13929012,23.87596016,26.29509433,23.83282992
Dominica,DMA,"Access to electricity, rural (% of rural population)",,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Denmark,DNK,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Dominican Republic,DOM,"Access to electricity, rural (% of rural population)",,55.37917519,65.38874475,66.70244253,67.7576492,68.7782304,69.86320613,71.02828365,72.27979788,78.67832724,76.15837269,77.82799638,77.76927236,78.47057264,80.20530172,79.72760608,80.73908439,90.49895557,92.61719627,92.90400521,93.58837005,92.48681862,92.27649478,93.4419887,93.63989389,93.91660825,95.03713315,100,100
Algeria,DZA,"Access to electricity, rural (% of rural population)",,,,,,,,,,,,,,,,,,,97.93528596,97.4304768,97.43410012,97.56395713,97.67373249,98.5730721,99.47906423,99.76456493,99.96514232,100,100
East Asia & Pacific (excluding high income),EAP,"Access to electricity, rural (% of rural population)",,,,,,,,,,,89.11586312,89.93346333,88.74489691,88.67284703,90.22841412,89.42487013,90.99139485,90.69468716,91.25691391,91.57778787,92.277325,93.24725249,93.74160824,93.89786072,94.04230161,94.70132801,94.80187496,96.10539894,96.24741177
Early-demographic dividend,EAR,"Access to electricity, rural (% of rural population)",,,,38.44886622,37.16587286,39.62366542,41.90602777,44.65235348,47.37103061,51.45716051,50.10712159,48.79148442,53.55478521,54.58978047,55.66473551,56.43244074,58.65779562,62.93129283,62.5541856,64.17724505,66.15034194,60.12849055,69.88053838,70.63555523,72.0430897,76.53835737,79.01535062,82.33538316,84.20021842
East Asia & Pacific,EAS,"Access to electricity, rural (% of rural population)",,,,,,,,,,,89.5028957,90.27973421,89.10366626,89.0180414,90.51300127,89.71944323,91.23356563,90.93697118,91.47821778,91.78175276,92.45956009,93.40704645,93.89154245,94.04591085,94.1888251,94.8334535,94.93330778,96.20518522,96.34487069
Europe & Central Asia (excluding high income),ECA,"Access to electricity, rural (% of rural population)",,,,,,,,,,,,,99.66868381,99.77034452,99.70334768,99.74474655,99.69767274,99.70127359,99.67869033,99.7798381,99.74122158,99.79180059,99.88891778,99.88314176,99.92337833,99.88479928,99.95678366,99.96642658,99.96567563
Europe & Central Asia,ECS,"Access to electricity, rural (% of rural population)",100,100,100,100,100,99.99638271,99.86496999,99.85183443,99.86685666,99.57813548,99.82098937,99.8472372,99.87001749,99.90979246,99.88332609,99.88947422,99.86834413,99.8697142,99.85953735,99.9034155,99.87409897,99.89818255,99.94518795,99.94215342,99.96195691,99.94260969,99.97839873,99.98316061,99.98272873
Ecuador,ECU,"Access to electricity, rural (% of rural population)",,,,,,78.78121028,81.98750546,82.68424377,82.67790173,83.82292033,85.06354427,85.89145255,86.75663349,88.12867431,88.37709156,89.64994326,91.09749473,92.18968316,93.27339568,92.28255591,93.67670298,91.9487327,93.05280471,95.4451384,97.50285325,97.0184028,96.78349147,97.79796324,100
"Egypt, Arab Rep.",EGY,"Access to electricity, rural (% of rural population)",,,89.59532287,92.64984545,93.02587784,92.87962094,93.8161951,94.22890731,94.65821506,95.10050283,96.3533119,95.97121478,96.37316738,98.12285113,96.6100905,99.09791305,98.83992426,97.67913819,99.7243827,98.08252516,98.7593891,99.21791785,99.8258394,99.62462665,99.72505554,99.44955868,100,100,100
Euro area,EMU,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Eritrea,ERI,"Access to electricity, rural (% of rural population)",,,,,,6.134915335,7.981398737,8.757263106,9.545414985,10.34384844,11.14267288,11.93797759,13.96752378,13.47877081,14.20590216,14.89621271,15.56022631,16.21866508,16.8879558,17.97138386,19.11580596,20.34265952,22.27050575,24.19981821,26.20182803,28.25755374,30.3507773,32.46564977,34.58702866
Spain,ESP,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Estonia,EST,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ethiopia,ETH,"Access to electricity, rural (% of rural population)",,,,,,,,,,,1.721933056,16.11509259,16.92181224,17.70463501,18.45596615,0.646618988,19.86367035,79.27271904,21.07493461,21.63151353,22.21539808,9.590688683,23.52542073,24.27036926,12.00607575,15.49694664,32.36383526,30.97068631,32.65367232
European Union,EUU,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Fragile and conflict affected situations,FCS,"Access to electricity, rural (% of rural population)",,,,,,,,,,,,,22.82413738,25.84848455,23.89080687,23.54008672,25.74360023,23.75254974,27.15634778,26.02804166,26.24897661,29.3426642,33.24636498,33.03144066,33.39323655,34.18664089,39.73891412,39.4081631,41.25479069
Finland,FIN,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Fiji,FJI,"Access to electricity, rural (% of rural population)",,,,,,,47.04390862,55.52105512,57.39296455,59.30111805,61.23156579,63.17083771,67.84324505,68.43130167,68.87983993,70.69897847,72.48607804,83.15057629,75.36632049,77.85084654,81.00252773,82.68858388,84.2626355,85.3578225,88.67041746,91.20191028,93.82187488,91.74966745,99.25741181
France,FRA,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Faroe Islands,FRO,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Micronesia, Fed. Sts.",FSM,"Access to electricity, rural (% of rural population)",,,,,,,,,,,39.09998921,41.5568292,43.55061507,45.51726763,47.44896826,49.34142039,51.20963654,53.06729065,54.93035411,56.81447104,58.77503933,61.74269497,64.24890129,66.52491331,68.86018724,71.50580517,74.20026914,76.58137629,78.73943122
Gabon,GAB,"Access to electricity, rural (% of rural population)",,,,,,,,,,,11.60526206,16.93712788,18.06571063,19.19867987,20.27504782,27.09572566,22.1679627,23.10799731,24.1591099,25.44475408,46.30078865,38.83420622,32.26116513,32.79278703,39.56878622,44.39267423,49.85910227,55.91451162,62.51130721
United Kingdom,GBR,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Georgia,GEO,"Access to electricity, rural (% of rural population)",,,,,,,,,,,,,99.78973486,98.80958291,98.9356054,97.49122395,98.96970037,98.92567012,98.8799235,98.86310323,98.9071366,99.46233618,100,99.80939547,100,99.98094085,100,100,100
Ghana,GHA,"Access to electricity, rural (% of rural population)",,,,2.887373993,3.798005665,5.963841324,8.179042426,10.45539668,13.28118097,15.19032698,14.868923,20.25039135,22.85994048,23.98505195,28.08568545,30.68127879,31.44893975,35.90469035,36.82274588,41.35769223,55.35118009,41.9754527,51.54375424,50.82963685,63.96502373,60.35755698,66.59609221,65.33245211,67.34916374
Gibraltar,GIB,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Guinea,GIN,"Access to electricity, rural (% of rural population)",,,,,,,,,,,,,,,0.715267565,,2.087972161,2.729307064,3.365951349,4.017152929,4.701563551,5.440229445,1.190640818,7.117549882,8.035560097,8.844914377,6.742920899,8.095142072,19.6652011
"Gambia, The",GMB,"Access to electricity, rural (% of rural population)",,,,2.00958829,1.355150786,2.500003678,3.647287383,4.806060788,5.976674243,7.151523657,18.8190228,9.456125125,10.55474791,0.865721181,12.73774989,4.456471659,14.72271586,15.63628857,16.53225369,17.44404602,25.61837523,26.75019611,27.48913683,30.25271311,27.87395932,28.80765463,28.93070021,20.51822042,35.46297136
Guinea-Bissau,GNB,"Access to electricity, rural (% of rural population)",,,,,,,,,,,,,,,,,2.07721575,,,,2.115413508,3.193471219,4.968327661,6.836316885,5.820251957,7.432302791,8.587078553,9.310245659,9.987460548
Equatorial Guinea,GNQ,"Access to electricity, rural (% of rural population)",,,,,,,,,,,,,,,,,,,,,,10.05383143,7.647158595,7.206218851,6.897772584,6.700125869,6.601195388,6.58208796,6.609482573
Greece,GRC,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Grenada,GRD,"Access to electricity, rural (% of rural population)",,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Greenland,GRL,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Guatemala,GTM,"Access to electricity, rural (% of rural population)",,,,,,39.02955487,47.96536323,49.79784683,51.67372396,54.21246244,55.00925019,57.45915431,64.14668869,63.39669654,63.22336876,65.07669011,74.18377199,68.71911183,70.55857719,72.44654167,74.40840456,73.98520531,78.66143156,80.96155165,76.65595454,85.83794068,88.38421653,90.97245359,93.61770054
Guam,GUM,"Access to electricity, rural (% of rural population)",99.7605473,99.58286894,99.53524839,99.63467166,99.79416445,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Guyana,GUY,"Access to electricity, rural (% of rural population)",,,,64.90338012,64.34903999,65.18052652,66.02085867,66.87259402,67.7359672,68.60408894,69.46720486,70.31633316,71.1424364,71.96311167,72.74717963,75.91960373,69.94086425,74.87100253,75.5587251,72.71346966,78.94057638,80.5359726,81.93341668,83.10668916,84.20784739,85.89251673,87.49019239,88.83658362,90.01043167
High income,HIC,"Access to electricity, rural (% of rural population)",99.39535418,99.51417272,99.49692,99.5146246,99.52157933,99.53335559,99.53082916,99.56114698,99.62049064,99.60251199,99.62580272,99.62742242,99.64777375,99.77934807,99.68767628,99.70193646,99.78630496,99.7327208,99.74450423,99.82094237,99.77614571,99.8433367,99.88119179,99.83898654,99.91113168,99.9264434,99.94762109,100,100
"Hong Kong SAR, China",HKG,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Honduras,HND,"Access to electricity, rural (% of rural population)",,31.25708705,37.01250212,38.71710237,44.52286304,45.69553731,36.95100717,41.05922064,43.51034589,44.59220639,44.89955181,38.27625933,36.95126631,38.75965773,40.63130982,43.25784124,46.43805594,49.64798951,54.3393527,57.63118739,61.81716567,63.39590342,66.69269911,73.40605881,76.53886169,79.0115274,82.12668128,71.84864075,81.09082175
Heavily indebted poor countries (HIPC),HPC,"Access to electricity, rural (% of rural population)",,,,,,,,,,,,10.96250411,10.47962451,11.27617061,11.57496621,8.299270005,12.69715186,23.37670045,14.65285367,15.53493018,15.74110497,12.99737621,19.13013568,18.79903531,20.17941602,20.2744044,28.74187959,28.69240573,30.9342242
Croatia,HRV,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Haiti,HTI,"Access to electricity, rural (% of rural population)",,,,,,9.447627816,8.80615025,9.39286157,10.01049164,10.65145438,7.055278624,13.18568982,10.6884071,18.73468388,10.54194519,10.82006817,6.838861517,11.3221506,11.59220154,11.91498009,8.122216796,6.727669504,3.918404611,4.568154171,3.629840755,2.73942779,,3.006985811,3.545803483
Hungary,HUN,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
IBRD only,IBD,"Access to electricity, rural (% of rural population)",,,,,,,,,,,74.16786119,72.78461953,76.21625092,76.91491027,77.59839424,78.77946621,79.89183454,81.00412167,82.19820134,83.38753109,85.02922088,80.43886905,87.14122509,87.69943786,88.82598463,91.38413016,92.71463991,94.49611432,96.3655462
IDA & IBRD total,IBT,"Access to electricity, rural (% of rural population)",,,,,,,,,,,62.80134979,61.96232254,64.06152407,64.58932836,64.7539625,65.26657381,66.6726017,67.78416304,68.20161823,69.33438308,69.83424553,66.74512137,72.63260946,72.69490097,73.11720447,75.6133537,78.2365618,79.65097115,80.95184941
IDA total,IDA,"Access to electricity, rural (% of rural population)",,,,,,,,,23.39672124,25.48730678,22.51175951,24.80708862,26.26186193,27.7176919,27.10237384,26.49814493,29.85824918,33.18176491,30.7362356,31.43614016,30.51139728,32.11396878,35.76228926,35.86518804,35.35208691,37.85367988,44.18461123,45.57502324,46.83773279
IDA blend,IDB,"Access to electricity, rural (% of rural population)",,,,,,,,,38.39597994,40.0594496,37.93527337,38.50433568,38.89815418,42.02625258,39.91504152,39.82942694,40.41032392,40.50112223,41.10122583,39.38952669,38.34561879,43.55122839,43.15289318,44.51506549,42.48295599,42.34663392,49.04370628,44.84215889,49.47525962
Indonesia,IDN,"Access to electricity, rural (% of rural population)",,31.01029741,53.35017052,36.1335232,45.72729955,51.58581269,59.41671158,69.5752021,71.81709765,75.8768352,79.71916787,79.24509041,81.19253241,79.84106823,82.88288761,76.25515275,84.93982801,84.66716863,87.98802649,88.38216887,89.356518,90.20112846,92.63239473,92.99420417,93.97625041,94.91776422,95.06200257,96.03035861,96.81340796
IDA only,IDX,"Access to electricity, rural (% of rural population)",,,,,,,,,,,12.62159562,16.41075269,19.48157886,20.29074238,20.48330886,19.66545651,24.54581734,29.72721438,25.57616374,27.33916706,26.66027888,26.52301269,32.01845803,31.5858651,31.85732485,35.60173936,41.72682741,45.94288034,45.54723358
Isle of Man,IMN,"Access to electricity, rural (% of rural population)",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
